1	Tokyo,	Jepang
Tokyo Game Show Microsoft Absen , Sony Tanpa Lawan Kehadiran XBox One di Jepang memang tidak mendapat respons  .	12	
Donghae mengumumkan kedatangan mereka di Jepang dengan mengatakan melalui twitter Kemudian , Eunhyuk dan Donghae memiliki kencan di Tokyo Disneyland  .	5	
Kalau kamu jalan-jalan ke Jepang , harus banget disempatkan mampir di Tokyo Fugetsudo Ginza , karena disanalah kue ini diproduksi  .	5	
Liburan ke Jepang , Syahrini Keliling Tokyo Pakai Limousine Mewah	5	
Raja Salman akan bantu keinginan Jepang agar Aramco listing di Tokyo	5	
Belum lama ini , Megawati kembali dari perjalanan ke Tokyo , Ibu Kota negara Jepang  .	4	
Isu Budak Seks Indonesia di Mata Jepang , Kian Memalukan Tokyo	4	
Jadi , kalau ada yang mau ke Jepang saya mau nitip Tokyo Banana nya doooong  .	4	
Kali ini sekotak Tokyo Banana dengan rasa Karamel yang dibawakan seorang teman yang baru pulang dari Jepang  .	4	
Novel I Heart Tokyo adalah novel yang bercerita mengenai petualangan seru Tomo yang pergi ke Jepang dan bertemu dengan Kokoro , seorang gadis Jepang yang ia kenal dari forum internet  .	4	
Peneliti Jepang ini Sarankan Jakarta Tiru Tokyo Berantas Kemacetan	4	
TVXQ memulai tur dome mereka pada bulan April , dan Sapporo Dome concert-baru-baru ini diadakan , JR Line Jepang memutuskan untuk memperpanjang jalur sementara ke Tokyo untuk membantu penggemar sampai ke tempat konser serta pulang kembali setelah itu Sepertinya merupakan sesuatu yang tidak biasa untuk kereta bawah tanah Jepang menambah ekstra perjalanan hanya untuk satu selebriti , dan ini menunjukkan bagaimana TVXQ sangat besar di Jepang  .	4	
Tokyo Banana Banana Caramel Custard Cream Hari ini seorang teman yang baru kembali dari Jepang membawakan saya banyak oleh-oleh berupa snack-snack Jepang yang tidak akan pernah saya dapatkan di Indonesia , salah satunya adalah Tokyo Banana  .	4	
Winter in Tokyo Tayang di Bioskop 11 Agustus Film yang mengambil latar di Jepang ini digarap sutradara Faj  .	4	
Book and Bed Tokyo , hotel baru di Jepang yang memiliki tema toko buku Pernahkah kalian membayangkan tidur di  .	3	
Dalam kunjungannya ke Kerajaan Arab Saudi , di sela-sela seminar ilmiah yang diselenggarakan Akademi Darul Hikmah untuk anak-anak perempuan di Jeddah , DR Masaro Imoto , seorang peneliti dari Jepang dan Ketua Lembaga Hado untuk riset ilmiah di Tokyo , mengatakan telah melakukan beberapa kali eksperimen dan penelitian terhadap air Zamzam yang didapatnya dari seorang berkebangsaan Arab  .	3	
Film Kejahatan Serdadu Jepang Diputar di Bioskop Tokyo	3	
Lagu yang Ditulis Taecyeon 2PM Berhasil Mencapai Chart Teratas Recochoku Taecyeon 2PM berhasil mencapai Chart Recochoku Jepang dengan lagu yang ia tulis sendiri Lagu berjudul I Love U , U Love Me , dirilis pada tanggal 15 April dalam siaran kejutan di Jepang , berhasil mencapai chart ringtone negara terbesar di negara tersebut Lagu ini ditulis untuk konser Tokyo Dome 2PM yang berlangsung dari 20-21April , dengan lirik Jepang yang ditulis oleh Taecyeon sendiri  .	3	
Merasakan Cinta dengan Latar Keindahan Jepang di Winter in Tokyo	3	
